49,10,APEEJAY INSTITUTE OF HOSPITALITY - [AIH],0,4.3,4.96,1.8,https://aih.edu.in/,https://www.shiksha.com/college/apeejay-institute-of-hospitality-navi-mumbai-4197,https://images.shiksha.com/mediadata/images/1246445315phpc4yz8U_m.jpeg,4.2,4,4.6,4.4,4.2
50,10,KAPOL VIDYANIDHI COLLEGE OF MANAGEMENT AND TECHNOLOGY,0,4.3,N/A,N/A,http://www.kapolcollege.com/,https://www.shiksha.com/college/kapol-college-kandivali-west-mumbai-40851,https://images.shiksha.com/mediadata/images/1417778136phpPwnvYe.jpeg,3,5,5,4,4
51,10,INDIAN INSTITUTE OF HOSPITALITY AND MANAGEMENT,0,4.6,2.56,N/A,http://www.iihm.co.in/,https://www.shiksha.com/college/indian-institute-of-hospitality-and-management-thane-west-thane-27079,https://images.shiksha.com/mediadata/images/1358830584phpf0LJr9.jpeg,5,4,4,5,5
52,11,Symbiosis Law School,3,4.2,15.6,7.5,https://www.symlaw.ac.in/,https://www.shiksha.com/college/symbiosis-law-school-pune-viman-nagar-34409,https://images.shiksha.com/mediadata/images/1470030382phpSTHCS7.png,4.1,4.3,4,4.8,3.8
53,11,Indian Law Society Law College,4,3.9,1.89,5.6,https://ilslaw.edu/,https://www.shiksha.com/college/ils-law-college-law-college-road-pune-2499,https://images.shiksha.com/mediadata/images/1571057630phpeh8H62.png,3.3,3.8,3.7,4.3,4.3
54,11,Bharati Vidyapeeth's New Law College,7,4,3.75,3.5,http://bvpnlcpune.org/,https://www.shiksha.com/college/new-law-college-bharati-vidyapeeth-deemed-university-kothrud-pune-36126,http://bvpnlcpune.org/Images/bvd.jpg,3.5,4,4.3,3.9,4.3
55,11,Manikchand Pahade Law College,20,4.3,0.14,2,http://mplaw.org/,https://www.shiksha.com/college/manikchand-pahade-law-college-aurangabad-45586,https://images.shiksha.com/mediadata/images/1418284313phpBEA8Om.png,4.3,4.8,5,4.5,3
56,11,Shivaji University,0,3.6,0.75,N/A,http://www.unishivaji.ac.in/,https://www.shiksha.com/university/shivaji-university-kolhapur-25136,http://www.unishivaji.ac.in/images/uni_logo.png,3.1,3.8,3.6,3.7,3.6
57,12,Amity University,0,4.5,2.55 ,3.75,https://www.amity.edu/mumbai/,https://www.shiksha.com/university/amity-university-mumbai-46905,https://www.amity.edu/mumbai/images/logo.png,5.0,4.0,5.0,4.0,0
58,12,University of Mumbai,81,3.6,1.22,N/A,https://mu.ac.in/,https://www.shiksha.com/university/university-of-mumbai-856,https://static.toiimg.com/img/74703881/Master.jpg,4.0,3.7,3.5,3.1,3.9
59,12,Sir J.J. School of Art,0,4.5,N/A,N/A,https://www.sirjjschoolofart.in/,https://www.shiksha.com/college/sir-j-j-school-of-art-d-n-road-fort-mumbai-61299,https://www.sirjjschoolofart.in/images/logo.gif,4.5,4.5,4.5,4.5,4.5
60,12,RACHNA SANSAD SCHOOL OF DESIGN,0,3.25,1.53,N/A,https://www.shiksha.com/college/rachana-sansad-prabhadevi-mumbai-40984,https://www.shiksha.com/college/rachana-sansad-prabhadevi-mumbai-40984,https://upload.wikimedia.org/wikipedia/commons/1/1a/Chapin_Hall%2C_Williams_College_-_Williamstown%2C_Massachusetts.jpg,3.25,3.25,3.25,3.25,3.25
